,title,month,year,Polarity,Subjectivity
246,MOBILITY STARTUP OTO RAISES $10M FROM GMO VENTURE PARTNERS,Feb,2024,0.0,0.0
247,EV Startup River Bags $40 Mn in Series B Led by Yamaha,Feb,2024,0.0,0.0
248,Snap-E Cabs Raises $2.5M in Pre-series A Led by Inflection Point Venture,Feb,2024,0.0,0.0
249,Eicher E-trucks to Provide Sustainable Logistics at ITC Locations,Feb,2024,0.0,0.0
250,EV Leasing Firm Electrifi Secures ₹250 Million Funding from ADB,Feb,2024,-0.2,0.4
251,Government Announces an Ambitious Plan to Bolster the EV ecosystem,Feb,2024,0.25,0.75
252,Attron Automotive to Revolutionize the EV Industry with Their Cutting-Edge Motors,Feb,2024,0.0,0.0
253,responsAbility to Invest $25 Million in BluSmart for EV Infra Expansion,Feb,2024,0.0,0.0
254,Bharat Mobility Expo – Honda Benly e: Electric Scooter Unveiled With Battery Swapping Technology,Feb,2024,0.0,0.0
255,Ather Energy Selects Siemens Xcelerator Portfolio to Speed Development of Electric Mobility Solutions,Jan,2024,0.0,0.0
256,"Servotech Power, BPCL to Set up 1,800 EV Charging Stations Pan India",Jan,2024,0.0,0.0
257,India’s Uber-rival BluSmart Pumps up EV Charging with $25M Investment,Jan,2024,0.0,0.0
258,ZERO21 Launches EV Exchange Program for Three-Wheeler,Jan,2024,0.0,0.0
259,"OLA TO DEPLOY 10,000 2-WHEELER EVS IN 2 MONTHS, SCALE UP SERVICE ACROSS INDIA BY DEC",Jan,2024,0.0,0.0
260,"Over 3.4 Million EVs on Indian Roads, Maharashtra Leads in 2Ws, PVs and buses, UP in 3Ws",Jan,2024,0.0,0.0
261,Hero Surge S32 – An Electric 3-Wheeler That Can Transform Into An Electric Scooter,Jan,2024,0.0,0.0
